doc_id,section_id,corpus_type,year,y1_ebi,y2_sa,y3_civil,y4_nv,y5_corpus_type,y6_period,y10_rep,y7_surprisal,y8_mafapo,y9_cidh,y11_conv_rest,text_length_chars,n_sa_instances,n_nv_instances,n_rep_instances,n_nv_questioned,processing_time_s,has_warning
1b2f8e6c0f9fba53439452a0db00ccf2070329a79f195529f9764da939332f8d,CONSIDERACIONES,A-CE,,0.0,1.0,0.9825,0.0,0,0.5,0.8478,,,,,8000,61,0,10,0,3.331,False
1b2f8e6c0f9fba53439452a0db00ccf2070329a79f195529f9764da939332f8d,DECISIÓN,A-CE,,0.0,1.0,0.991,0.0285,0,0.5,0.0945,,,,,8000,36,1,2,0,3.173,False
1cdfc83e3657c1421bd5cbb381fc7984156440675f4bcb70206be4ded8f81ff9,HECHOS,A-CSJ,2014.0,0.0,1.0,0.9879,0.7083,1,0.6897,0.0,,,,,1040,3,2,0,0,0.551,False
1cdfc83e3657c1421bd5cbb381fc7984156440675f4bcb70206be4ded8f81ff9,DECISIÓN,A-CSJ,2014.0,0.0,1.0,0.9947,0.0,1,0.6897,0.0,,,,,746,5,0,0,0,0.486,False
1d59753be972090bd0a2b825206390fe1d43be194d8f797ac7b097623ae9e4d1,CONSIDERACIONES,A-CSJ,2018.0,0.0,1.0,0.9904,0.3403,1,0.8276,0.0726,,,,,8000,60,7,1,0,2.799,False
1d59753be972090bd0a2b825206390fe1d43be194d8f797ac7b097623ae9e4d1,DECISIÓN,A-CSJ,2018.0,0.0,0.65,0.9948,0.0,1,0.8276,0.0,,,,,866,4,0,0,0,0.486,False
1d827284136d2487d88645af44ae64472c936914676cafcee2eacf23514ca158,DECISIÓN,A-CE,2003.0,0.0,0.3071,0.9973,0.0,0,0.3103,0.0,,,,,844,2,0,0,0,0.47,False
1e6c5f6e8510143dc607c36570938f46d49e2e887291340d25f12ac2a964507d,DECISIÓN,A-CE,,0.0,1.0,0.9894,0.0,0,0.5,0.275,,,,,3102,7,0,1,0,1.266,False
2132a193e2be757480179b35a44891f32d1fad47b3923b917d6e94617e1018a4,DECISIÓN,A-CSJ,2007.0,0.0,0.65,0.9932,0.0,0,0.4483,0.2045,,,,,1009,5,0,1,0,0.521,False
21649e686b573d7662c1ad154761aeb3d93749226065487f3951e711f22a4a4f,HECHOS,A-CE,2017.0,0.0,1.0,0.9908,0.3013,0,0.7931,0.3452,,,,,8000,59,5,4,0,2.633,False
21649e686b573d7662c1ad154761aeb3d93749226065487f3951e711f22a4a4f,CONSIDERACIONES,A-CE,2017.0,0.0,1.0,0.9951,0.0467,0,0.7931,0.09,,,,,8000,54,1,1,0,2.899,False
21649e686b573d7662c1ad154761aeb3d93749226065487f3951e711f22a4a4f,DECISIÓN,A-CE,2017.0,0.0,0.964,0.9938,0.0,0,0.7931,0.0,,,,,1117,4,0,0,0,0.643,False
2226d308a75bcc78bec425ffa65a2a8fb543f29dfd7fb27da57b759d0417deda,CONSIDERACIONES,A-CE,2004.0,0.0,1.0,0.9867,0.2056,0,0.3448,0.075,,,,,8000,48,4,1,0,2.714,False
2226d308a75bcc78bec425ffa65a2a8fb543f29dfd7fb27da57b759d0417deda,DECISIÓN,A-CE,2004.0,0.0,1.0,0.9898,0.0,0,0.3448,0.0,,,,,2704,9,0,0,0,0.968,False
23bbdee45fd67bf8149df3930d9034967b76fa08e5586fa25fe4ea2f62a7e8c1,HECHOS,A-CSJ,2014.0,0.0,0.6786,0.9822,0.4762,1,0.6897,0.0,,,,,1090,4,2,0,0,0.583,False
23bbdee45fd67bf8149df3930d9034967b76fa08e5586fa25fe4ea2f62a7e8c1,CONSIDERACIONES,A-CSJ,2014.0,0.0,1.0,0.9909,0.3246,1,0.6897,0.1184,,,,,8000,58,4,1,0,2.664,False
23bbdee45fd67bf8149df3930d9034967b76fa08e5586fa25fe4ea2f62a7e8c1,DECISIÓN,A-CSJ,2014.0,0.0,0.4333,0.9885,0.0,1,0.6897,0.0,,,,,599,2,0,0,0,0.372,False
254d6cd44092136418782cdda8bedea28aaa1427466d870436906e3d93915c16,CARGOS,A-CSJ,2016.0,0.0,1.0,0.9946,0.1389,1,0.7586,0.0,,,,,8000,50,2,0,0,3.031,False
254d6cd44092136418782cdda8bedea28aaa1427466d870436906e3d93915c16,DECISIÓN,A-CSJ,2016.0,0.0,0.78,0.9923,0.0,1,0.7586,0.0,,,,,638,3,0,0,0,0.437,False
2556aa061d8aded9dad71d767d0648b9a7a48475556d519db0662f48d7a0e340,CONSIDERACIONES,A-CE,,0.0,1.0,0.9933,0.1905,0,0.5,0.0952,,,,,8000,48,3,1,0,2.748,False
2556aa061d8aded9dad71d767d0648b9a7a48475556d519db0662f48d7a0e340,DECISIÓN,A-CE,,0.0,1.0,0.9857,0.2803,0,0.5,0.1705,,,,,8000,50,4,2,0,2.748,False
26dfc2f5529297e29c7d1c5aacf3bfce219fb1eb6cdbf09f715a143f2722ada2,CONSIDERACIONES,A-CE,2004.0,0.0,1.0,0.9862,0.4583,0,0.3448,0.0,,,,,8000,38,8,0,0,3.003,False
26dfc2f5529297e29c7d1c5aacf3bfce219fb1eb6cdbf09f715a143f2722ada2,DECISIÓN,A-CE,2004.0,0.0,1.0,0.994,0.0,0,0.3448,0.3125,,,,,1508,4,0,1,0,0.877,False
274d29962451441c036e97f327c52962feec52b31fef624dbdb88b936376f9c4,CONSIDERACIONES,A-CSJ,2017.0,0.0,1.0,0.9904,0.1515,0,0.7931,0.3977,,,,,8000,59,2,4,0,2.72,False
274d29962451441c036e97f327c52962feec52b31fef624dbdb88b936376f9c4,DECISIÓN,A-CSJ,2017.0,0.0,0.5571,0.9918,0.0,0,0.7931,0.3214,,,,,1111,3,0,1,0,0.503,False
27ced80839f5d06057ae1462ab99c9138bcfab5db28af07a3042e1ffb9e60863,CONSIDERACIONES,A-CE,,0.0,1.0,0.9873,0.0897,0,0.5,0.0952,,,,,8000,66,2,1,0,2.684,False
27ced80839f5d06057ae1462ab99c9138bcfab5db28af07a3042e1ffb9e60863,DECISIÓN,A-CE,,0.0,1.0,0.9894,0.0,0,0.5,0.0521,,,,,8000,34,0,1,0,2.473,False
27d9721f69fcc9c5aae1369419546b29f74c68854893d7b6cf2f95233aa00024,HECHOS,A-CE,,0.0,0.9881,0.9587,0.3646,0,0.5,0.0,,,,,8000,23,8,0,0,3.626,False
27d9721f69fcc9c5aae1369419546b29f74c68854893d7b6cf2f95233aa00024,HECHOS,A-CE,,0.0,0.9052,0.9693,0.3925,0,0.5,0.0,,,,,6689,22,8,0,0,2.984,False
27d9721f69fcc9c5aae1369419546b29f74c68854893d7b6cf2f95233aa00024,HECHOS,A-CE,,0.0,1.0,0.9779,0.6301,0,0.5,0.0,,,,,8000,38,12,0,0,2.889,False
27d9721f69fcc9c5aae1369419546b29f74c68854893d7b6cf2f95233aa00024,DECISIÓN,A-CE,,0.0,1.0,0.9796,0.0,0,0.5,0.2557,,,,,8000,44,0,3,0,2.938,False
2a3b67dd8318e81ac2c4ff4f18ee62c053dd38b9d4b39b282011ed46e3283b29,HECHOS,A-CSJ,2016.0,0.0,1.0,0.9878,0.4722,1,0.7586,0.0,,,,,2058,9,2,0,0,0.866,False
2a3b67dd8318e81ac2c4ff4f18ee62c053dd38b9d4b39b282011ed46e3283b29,DECISIÓN,A-CSJ,2016.0,0.0,0.5938,0.9899,0.0,1,0.7586,0.0,,,,,982,4,0,0,0,0.684,False
2b419c8e925543ff79ac0413de3ab026b4f45d1a5617693533e477fb54a4d888,HECHOS,A-CSJ,2015.0,0.0,1.0,0.979,1.0,1,0.7241,0.0,,,,,1228,3,3,0,0,0.683,False
2b419c8e925543ff79ac0413de3ab026b4f45d1a5617693533e477fb54a4d888,CARGOS,A-CSJ,2015.0,0.0,1.0,0.9923,0.5385,1,0.7241,0.0,,,,,4779,33,6,0,0,1.67,False
2b419c8e925543ff79ac0413de3ab026b4f45d1a5617693533e477fb54a4d888,CONSIDERACIONES,A-CSJ,2015.0,0.0,1.0,0.9956,0.3261,1,0.7241,0.0,,,,,8000,61,6,0,0,3.3,False
2b419c8e925543ff79ac0413de3ab026b4f45d1a5617693533e477fb54a4d888,DECISIÓN,A-CSJ,2015.0,0.0,1.0,0.9946,0.0,1,0.7241,0.0,,,,,709,5,0,0,0,0.565,False
2cab90c8736fb4fe23022c4cf28f65ee1e9d20f0cff3b63fd36470d360dccce8,CONSIDERACIONES,A-CE,,0.0,1.0,0.9916,0.0,0,0.5,0.0469,,,,,8000,44,0,1,0,3.164,False
2cab90c8736fb4fe23022c4cf28f65ee1e9d20f0cff3b63fd36470d360dccce8,DECISIÓN,A-CE,,0.0,0.8744,0.99,0.0,0,0.5,0.0,,,,,2240,6,0,0,0,0.881,False
