doc_id,section_id,corpus_type,y10_rep_v5
21649e686b573d7662c1ad154761aeb3d93749226065487f3951e711f22a4a4f,CONSIDERACIONES,A-CE,0.0
21649e686b573d7662c1ad154761aeb3d93749226065487f3951e711f22a4a4f,DECISIÓN,A-CE,0.0
2226d308a75bcc78bec425ffa65a2a8fb543f29dfd7fb27da57b759d0417deda,CONSIDERACIONES,A-CE,0.0
2226d308a75bcc78bec425ffa65a2a8fb543f29dfd7fb27da57b759d0417deda,DECISIÓN,A-CE,0.0
23bbdee45fd67bf8149df3930d9034967b76fa08e5586fa25fe4ea2f62a7e8c1,HECHOS,A-CSJ,0.0
23bbdee45fd67bf8149df3930d9034967b76fa08e5586fa25fe4ea2f62a7e8c1,CONSIDERACIONES,A-CSJ,0.0
23bbdee45fd67bf8149df3930d9034967b76fa08e5586fa25fe4ea2f62a7e8c1,DECISIÓN,A-CSJ,0.0
254d6cd44092136418782cdda8bedea28aaa1427466d870436906e3d93915c16,CARGOS,A-CSJ,0.0
254d6cd44092136418782cdda8bedea28aaa1427466d870436906e3d93915c16,DECISIÓN,A-CSJ,0.0
2556aa061d8aded9dad71d767d0648b9a7a48475556d519db0662f48d7a0e340,CONSIDERACIONES,A-CE,0.0
2556aa061d8aded9dad71d767d0648b9a7a48475556d519db0662f48d7a0e340,DECISIÓN,A-CE,0.3861940298507461
26dfc2f5529297e29c7d1c5aacf3bfce219fb1eb6cdbf09f715a143f2722ada2,CONSIDERACIONES,A-CE,0.4123913043478265
26dfc2f5529297e29c7d1c5aacf3bfce219fb1eb6cdbf09f715a143f2722ada2,DECISIÓN,A-CE,0.7083333333333334
274d29962451441c036e97f327c52962feec52b31fef624dbdb88b936376f9c4,CONSIDERACIONES,A-CSJ,0.0
274d29962451441c036e97f327c52962feec52b31fef624dbdb88b936376f9c4,DECISIÓN,A-CSJ,0.0
27ced80839f5d06057ae1462ab99c9138bcfab5db28af07a3042e1ffb9e60863,CONSIDERACIONES,A-CE,0.49701492537313513
27ced80839f5d06057ae1462ab99c9138bcfab5db28af07a3042e1ffb9e60863,DECISIÓN,A-CE,0.33928571428571425
27d9721f69fcc9c5aae1369419546b29f74c68854893d7b6cf2f95233aa00024,HECHOS,A-CE,0.0
27d9721f69fcc9c5aae1369419546b29f74c68854893d7b6cf2f95233aa00024,HECHOS,A-CE,0.0
27d9721f69fcc9c5aae1369419546b29f74c68854893d7b6cf2f95233aa00024,HECHOS,A-CE,0.0
27d9721f69fcc9c5aae1369419546b29f74c68854893d7b6cf2f95233aa00024,DECISIÓN,A-CE,0.5510204081632651
2a3b67dd8318e81ac2c4ff4f18ee62c053dd38b9d4b39b282011ed46e3283b29,HECHOS,A-CSJ,0.0
2a3b67dd8318e81ac2c4ff4f18ee62c053dd38b9d4b39b282011ed46e3283b29,DECISIÓN,A-CSJ,0.0
2b419c8e925543ff79ac0413de3ab026b4f45d1a5617693533e477fb54a4d888,HECHOS,A-CSJ,0.0
2b419c8e925543ff79ac0413de3ab026b4f45d1a5617693533e477fb54a4d888,CARGOS,A-CSJ,0.0
2b419c8e925543ff79ac0413de3ab026b4f45d1a5617693533e477fb54a4d888,CONSIDERACIONES,A-CSJ,0.0
2b419c8e925543ff79ac0413de3ab026b4f45d1a5617693533e477fb54a4d888,DECISIÓN,A-CSJ,0.0
