unidad,corpus,y1_ebi,y2_sa,y4_nv,y8_mafapo_cs,y9_cidh_cs,y10_rep,y1_ebi_z,y2_sa_z,y4_nv_z,y8_mafapo_cs_z,y9_cidh_cs_z,y10_rep_z,DIS,IEI_A,IEI_B
057f5cc436d1_HECHOS_0,A,2.575757575757576,1.0,0.925,0.1986026763916015,0.2745041847229004,0.0,0.9760797510364226,0.6188916609807404,0.9066866773919469,0.4794794785552127,0.6481475787791466,0.34711492262946964,0.7719649219199504,0.6582420682734131,0.6631294230834432
057f5cc436d1_CONSIDERACIONES_0,A,0.192435301924353,1.0,0.3232,0.2375556826591491,0.3009083867073059,0.0,0.49376765334204153,0.6188916609807404,0.567539138197441,0.6816384212005033,0.7810004111898937,0.34711492262946964,0.5790400828421979,0.6772172332964017,0.6722034291810908
057f5cc436d1_DECISIÓN_0,A,0.0,0.65,0.0,0.1993750929832458,0.2276062369346618,0.0,0.41911613236841694,0.2895793819404578,0.3093038425074956,0.4836550077686721,0.3629877347773993,0.34711492262946964,0.4503857907406632,0.39514947629293734,0.44374641212593147
05d2e3f2271c_HECHOS_0,A,1.3016528925619837,1.0,0.5641,0.4045480489730835,0.4196357131004333,0.0,0.8471973959680962,0.6188916609807404,0.7452093880924844,0.9875947890322412,0.9858237718377892,0.34711492262946964,0.7204119798926197,0.9143478635919785,0.8596137421663468
05d2e3f2271c_CONSIDERACIONES_0,A,0.4054844369354733,1.0,0.5,0.2310335636138916,0.2749361991882324,0.5852586206896557,0.5766009703368671,0.6188916609807404,0.7026566481648343,0.6502389582279242,0.6506085054951721,0.8363215754700837,0.4654114137879439,0.6660751293891717,0.566123660789362
05d2e3f2271c_DECISIÓN_0,A,0.0,1.0,0.0778,0.2087166905403137,0.2605551481246948,0.0,0.41911613236841694,0.6188916609807404,0.36712800624963554,0.5341636902080192,0.5651081124374953,0.34711492262946964,0.5491794744527481,0.49333631168934694,0.5238851522082946
05fe0c7e89a3_HECHOS_0,A,1.592920353982301,0.34,0.3333,0.1582309603691101,0.2016675472259521,0.0,0.8974393236306318,0.10700285732827804,0.5757663789240094,0.2776222204453806,0.2294582781862475,0.34711492262946964,0.5869421098618953,0.3526162853112293,0.4151698458852845
05fe0c7e89a3_CONSIDERACIONES_0,A,0.0,1.0,0.3854,0.196719229221344,0.2595148086547851,0.0,0.41911613236841694,0.6188916609807404,0.6174501728091097,0.4693111166245869,0.5587009611156128,0.34711492262946964,0.5491794744527481,0.5405697868272515,0.5654081339426628
05fe0c7e89a3_DECISIÓN_0,A,0.0,0.52,0.3333,0.2769802808761596,0.2975323796272278,0.0,0.41911613236841694,0.1961009823266706,0.5757663789240094,0.8340992404843289,0.7662116934528332,0.34711492262946964,0.4223422708565271,0.7362331179067844,0.7163013057136154
0835aff2f7b2_CONSIDERACIONES_0,A,0.1366490212975501,1.0,0.1111,0.2060458064079284,0.229725956916809,0.2890624999999999,0.47194790616087096,0.6188916609807404,0.3932245314653014,0.5197487283093644,0.37533719301706436,0.6191380689683679,0.48870524006806015,0.4384680086684555,0.42423743581972717
