doc_id,section_id,section,y7_surprisal
5ee19e3ec4b05a74,1,,-0.36538897454738617
5ee19e3ec4b05a74,3,,-0.06561476281947556
5ee19e3ec4b05a74,4,,-0.5917022824287415
60fe3a5fe8639d76,2,,-0.3127328239381313
60fe3a5fe8639d76,3,,-1.1631289795041084
6142253bdf38cd5c,1,,-0.07229124940931794
6142253bdf38cd5c,2,,-1.5712727159261703
61c54929ab3781f5,1,,-0.23751040796438855
61c54929ab3781f5,3,,-0.2976013807029548
61c54929ab3781f5,4,,-1.49149189889431
6394eb6138b13ab1,1,,-1.9038451071828604
66f4e08f6b0a8149,6,,-0.40781218138651865
66f4e08f6b0a8149,8,,-0.8005345004300277
688ad821ace128f0,1,,-0.7322234064340591
688ad821ace128f0,2,,-1.112553659826517
689bbf4b90d26cec,2,,-0.4017511382699013
689bbf4b90d26cec,3,,-1.2193951159715652
6cbd498b0828a051,1,,-0.5352763320234689
6cbd498b0828a051,2,,-0.8697971682995558
6fee7f9e0570c157,2,,-0.7455767428860047
6fee7f9e0570c157,3,,-0.24242965346918657
70c691d7fd400f79,3,,-0.19382157308920736
70c691d7fd400f79,6,,-0.5486366499681026
719e6b74d9fabde6,1,,-0.37728109359741213
719e6b74d9fabde6,2,,-0.15713783185646837
719e6b74d9fabde6,3,,-0.8817071467638016
724eee2e14b8e2ab,1,,-0.5830701836384833
724eee2e14b8e2ab,2,,-0.1659764970342318
724eee2e14b8e2ab,3,,-2.330505385994911
74e7e6f7a44ea3df,1,,-0.30246792609492934
7645582bce3db055,1,,-0.7615506500005722
771e9779f623140a,2,,-0.09365006236404907
771e9779f623140a,6,,-0.7479574419558048
771e9779f623140a,7,,-0.3535112780001428
7810f1a05d333148,1,,-0.12424146537395087
7909efeac68ce777,5,,-0.10254001244902611
7909efeac68ce777,6,,-0.23026680555194617
7909efeac68ce777,7,,-0.09034834420308471
7909efeac68ce777,9,,-0.21830290649086237
7909efeac68ce777,12,,-0.06395237240940332
7909efeac68ce777,13,,-0.3072473167308739
795b680b187d3c7a,1,,-0.06782378191698571
795b680b187d3c7a,2,,-0.935011051595211
7965f19b2b4f0763,2,,-0.20075654928442288
7965f19b2b4f0763,3,,-0.8296719249337912
79da7d3fdfcfc385,1,,-0.024119361351918556
79da7d3fdfcfc385,2,,-0.7958854734897614
7b47a4d7d758fa54,2,,-0.06589151918888092
7b47a4d7d758fa54,5,,-0.05330909136682749
7b47a4d7d758fa54,6,,-0.5216878056526184
7de7edb69d97de48,2,,-0.49723381931997
7de7edb69d97de48,3,,-1.4310127645730972
7efa27692854007d,1,,-0.14491236349567768
7efa27692854007d,2,,-0.050009293651038955
7efa27692854007d,3,,-1.1819000840187073
7ffc5e67928f3a01,2,,-0.9102117121219635
828d11620a20da7e,1,,-0.0876417118061737
829402b726f228fe,2,,-0.15529189134637517
829402b726f228fe,3,,-0.14334838092327118
829402b726f228fe,4,,0.033078972560664055
829402b726f228fe,5,,-0.7734494507312775
8383f2a4b777890b,1,,-0.14967947427568762
8383f2a4b777890b,2,,-0.932247944176197
849bf9553f4f6fb2,2,,-1.0225443094968796
86612fca64bcb05a,2,,-0.2178114264582594
86612fca64bcb05a,3,,-0.16424053690824952
86612fca64bcb05a,4,,-0.5004972517490387
8695e3bbff2b1626,1,,-0.04773595035076142
8695e3bbff2b1626,2,,-1.8922217935323715
8698957dce8f3b06,1,,-0.95406557371219
86c58e3302ae7ea2,4,,-0.08518614123264949
86c58e3302ae7ea2,5,,-0.4592321701347828
86c58e3302ae7ea2,6,,-0.06749852746725082
86c58e3302ae7ea2,7,,-0.6063040196895599
86c58e3302ae7ea2,8,,-0.6227828115224838
86c58e3302ae7ea2,9,,-0.26099490125974023
86c58e3302ae7ea2,18,,-0.034709805622696877
86c58e3302ae7ea2,19,,-0.05500911734998226
86c58e3302ae7ea2,20,,-0.006563629023730755
