AU1,AU4,AU6,AU12,AU15,AU17,audio,start,end,duracion
0.141735013133209,0.028208040142137753,0.3104107493632718,0.03064910760679739,0.0022571990086458086,0.4904341911897063,casanare_torres,1068.78,1070.92,2.14
0.1415232793531484,0.01800033095706668,0.42324156645271516,0.14255725197148827,0.0009260172038949577,0.3087571665851606,casanare_torres,1071.32,1075.09,3.76
0.02679781733642908,0.09103718777738609,0.5150402211829236,0.06949981506477493,0.0008152944097153187,0.2156666215558193,casanare_torres,1075.71,1084.3,8.59
0.04811652847657617,0.06014345406315682,0.327633325206606,0.187343864934136,0.0012913451206546405,0.09871940013315332,casanare_torres,1084.72,1086.88,2.16
0.07718536996981129,0.07116364941612119,0.39138639252632856,0.4303714816851425,0.0008208586099271997,0.49441220075823367,casanare_torres,1087.19,1090.63,3.44
0.04029694214378568,0.19980997109880924,0.28031509301879187,0.11458106827029207,0.0021620748386588025,0.5251702542988245,casanare_torres,1091.05,1093.21,2.16
0.021438691908350356,0.2748032223719817,0.36412511192835295,0.019326555493395202,0.0036488926897828397,0.14742032495828775,casanare_torres,1094.09,1097.06,2.97
0.012874956760141585,0.27893298533227706,0.41241196625762516,0.04081500262125499,0.003711303521413356,0.16671953443437815,casanare_torres,1097.61,1099.77,2.16
0.0003251786664834306,0.3127871035568176,0.5578835308551788,0.006735605142650104,6.577591662907282e-05,0.43196311112373104,casanare_torres,1103.23,1104.26,1.03
0.10351568184393857,0.053066377250832464,0.3402547811468442,0.03634687960757652,0.0013965578986071272,0.5112927658926874,casanare_torres,1104.58,1108.23,3.64
0.0016550916096259077,0.17544664070010185,0.6317201636054299,0.0029169758173256096,0.00018033049888220955,0.3693437474695119,casanare_torres,1108.68,1112.6,3.91
0.0044185973438916025,0.15934491748439855,0.517135025098406,0.0005241075282512987,0.0001862386734814961,0.5831197870188746,casanare_torres,1113.38,1115.32,1.94
0.005029140301093531,0.10234500449270201,0.6586016821555603,0.05002065388288639,4.164548225815405e-05,0.16109566829907587,casanare_torres,1116.04,1117.34,1.3
0.009635724921099608,0.11883857518841978,0.5931040033698082,0.01516615621803794,0.0010493437841887499,0.36471063289791344,casanare_torres,1117.59,1120.4,2.8
0.04026348528540915,0.07307816082001886,0.4812274390742892,0.0070780834350790385,0.00017893289350467967,0.40095519292212667,casanare_torres,1120.73,1124.82,4.08
0.009210665093996795,0.16509347745450215,0.5983514092862606,0.00283039273193495,0.00024287932441779958,0.2015915159136057,casanare_torres,1125.07,1131.94,6.87
0.22066254983332734,0.043258776692608886,0.3133205357525084,0.07318754963085262,0.002299663410263343,0.2936898180180126,casanare_torres,1133.2,1138.99,5.79
,,,,,,casanare_torres,1139.36,1145.52,6.16
0.00028977086428009596,0.16855156297485033,0.5287086913983027,0.0007930929108018366,6.894662298388236e-05,0.2079052353898684,casanare_torres,1146.05,1148.73,2.68
0.04435934982757317,0.17005165763839614,0.45474589243531227,0.10465856057089695,0.000843057490328647,0.3617325227241963,casanare_torres,1149.15,1154.26,5.11
0.18534576413886888,0.02979476806441588,0.40498809942177366,0.01379862851587989,0.008104571049833404,0.3560936666492905,casanare_torres,1154.72,1157.39,2.67
0.010826435755006969,0.22658289317041636,0.38590242341160774,0.02004076085086126,0.0015769697729410836,0.304316533729434,casanare_torres,1157.94,1162.77,4.83
0.12964677815398318,0.15098942402255489,0.4566237156589826,0.058473491570718274,0.001254383188400728,0.15245114251350364,casanare_torres,1164.52,1169.96,5.43
0.06337130826432258,0.09623129910970521,0.3689248561859131,0.052720635599320706,0.00012287995650694938,0.5752040235222213,casanare_torres,1170.11,1173.03,2.92
0.11541095258305883,0.09203059657981309,0.5366163750489553,0.10299787294095115,0.0006080254291999962,0.1937079218397331,casanare_torres,1173.79,1177.42,3.63
0.10555843561887741,0.08014677843311802,0.48408391773700715,0.06727592662791722,0.008557774029031861,0.13905284204520285,casanare_torres,1177.99,1182.21,4.22
0.08446060153385458,0.04106022152804404,0.4066816728029932,0.12589031131823397,0.0023801345415839542,0.12836193439683743,casanare_torres,1182.92,1185.57,2.65
0.14050514101836598,0.004549729743644093,0.419579945737496,0.07084545911732221,0.0033329846121361584,0.16356182808522135,casanare_torres,1186.34,1191.74,5.4
0.2530841884513696,0.001055313029307096,0.3784963776667913,0.27115058525863184,0.003471923926069091,0.12105380886544784,casanare_torres,1191.9,1193.36,1.47
0.1057248996803537,0.009278162698405246,0.47778212147600513,0.06885013592557912,0.0018033135056077084,0.11185099811786238,casanare_torres,1193.95,1200.15,6.19
0.15692957113496958,0.01812646022081026,0.4233977168798447,0.14294399997075685,0.000513203929131123,0.24207605022238568,casanare_torres,1201.14,1207.94,6.8
0.08203236161110301,0.021304787408654293,0.4518861431214545,0.040577321987257164,0.0001621996342527786,0.3804878145456314,casanare_torres,1208.38,1230.94,22.56
0.005165494416597421,0.03661954362431298,0.5142857691516047,0.00043661415301081115,3.165515725255397e-05,0.6450691663700602,casanare_torres,1231.67,1234.64,2.97
0.004306306495614674,0.03662857571211846,0.4528444422327954,0.00046246422773591525,3.451938700100468e-05,0.7352008638174637,casanare_torres,1234.96,1239.43,4.47
0.009584343741432978,0.032995536063726134,0.4655122034824811,0.0002567185810431301,2.6141902638370924e-05,0.7985958686241736,casanare_torres,1239.63,1241.36,1.72
0.009333297788213134,0.04709596684287218,0.4890298856930299,0.001416443692009621,5.476204081457002e-05,0.6636065136302601,casanare_torres,1242.0,1247.85,5.86
0.0053455914920264415,0.04094329911886769,0.48398350354503183,0.09807199877049216,5.8371155439411214e-05,0.3308897855527261,casanare_torres,1248.36,1252.53,4.17
0.04320486133219674,0.010782777622807771,0.49036675989627837,0.02936539947622805,7.684414194955024e-05,0.3193519670516253,casanare_torres,1253.3,1258.15,4.84
0.0056741222250275315,0.0289522890932858,0.39770575642585754,0.008839496204163879,0.00025333930254419103,0.7449233317375183,casanare_torres,1258.45,1260.88,2.43
0.02897183429794731,0.017675453331321478,0.4407963587178124,0.025950565196884174,0.00012829954633801849,0.7930860033741703,casanare_torres,1261.32,1263.09,1.77
0.026301046812229535,0.04188634400171312,0.5444006242535331,0.02490588323136804,6.566515086929444e-05,0.43196180733767425,casanare_torres,1263.33,1269.28,5.96
