doc_id,corpus,subcorpus,year,radicado,tipo_accion,decision,magistrado_ponente,sala_seccion,fecha_sentencia,fecha_hechos,departamento_hechos,municipio_hechos,batallon,secciones_identificadas,n_secciones,n_chars,y8_mafapo,y9_cidh,y2_sa,y10_rep,compareciente,rango,icm_v3,deteccion_facial
93cd493c18bc96eb2097…,A-CE,CE,,[ver metadata_corpus_a.csv],Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],,[extraer de PDF],,,,CONSIDERACIONES | HECHOS | DECISIÓN,3,20521,0.234,0.292,0.952,0.073,—,—,—,—
940bc8b01846705133a1…,A-CSJ,CSJ,2019,11001-03-15-000-2019-01556-00,TUTELA,,[extraer de PDF],[extraer de PDF],31 de mayo de 2013,23 de agosto de 2013,META,San,,CONSIDERACIONES | DECISIÓN,2,8955,0.161,0.206,0.890,0.065,—,—,—,—
9426d4a89f8bc30287b8…,A-CSJ,CSJ,2014,85001-23-33-000-2014-00006-01,Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],15 de diciembre de 2016,9 de febrero de 2012,Casanare,,,CONSIDERACIONES | DECISIÓN,2,8473,0.229,0.276,0.988,0.000,—,—,—,—
9561dc53d21bcaf10279…,A-CSJ,CSJ,2015,11001-03-15-000-2015-01676-00,Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],4 de junio de 2015,4 de junio de 2015,ANTIOQUIA,,,HECHOS | CONSIDERACIONES | DECISIÓN,3,9876,0.250,0.277,0.811,0.000,—,—,—,—
963ef8d22e1d958870fd…,A-CE,CE,,[ver metadata_corpus_a.csv],Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],,[extraer de PDF],,,,CONSIDERACIONES | DECISIÓN,2,12778,0.170,0.228,1.000,0.176,—,—,—,—
997f40b40ded4430488d…,A-CE,CE,2018,11001-03-15-000-2018-00348-01,TUTELA,Niega,[extraer de PDF],[extraer de PDF],31 de julio de 2012,28 de agosto de 2014,Huila,Pitalito,,CONSIDERACIONES | DECISIÓN,2,8764,0.224,0.274,1.000,0.120,—,—,—,—
9b9937638e2e24088512…,A-CE,CE,2011,05001-23-31-000-2011-00092-01,Acción de Reparación Directa,Accede,[extraer de PDF],[extraer de PDF],29 de enero de 2020,6 de diciembre de 2006,Antioquia,Santaf,,DECISIÓN,1,1620,0.178,0.252,0.500,0.000,—,—,—,—
9c24fba0ba7a0a467bb7…,A-CSJ,CSJ,2014,85001-23-33-000-2014-00006-01,Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],15 de diciembre de 2016,9 de febrero de 2012,Casanare,,,HECHOS | DECISIÓN,2,2022,0.234,0.297,0.861,0.000,—,—,—,—
9c9810687ab3fcab9c39…,A-CE,CE,2009,05001-23-31-000-2009-00233-01,"ACCIÓN

DE REPARACIÓN DIRECTA",Condena,[extraer de PDF],[extraer de PDF],2009,[extraer de PDF],Antioquia,Soacha,de,HECHOS | CONSIDERACIONES | DECISIÓN,3,19189,0.178,0.229,1.000,0.083,—,—,—,—
9e1ad91a57791069a3aa…,A-CE,CE,,[ver metadata_corpus_a.csv],Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],,[extraer de PDF],,,,CONSIDERACIONES | DECISIÓN,2,10688,0.205,0.249,0.914,0.190,—,—,—,—
9e69f9bcbc95fe0c0068…,A-CE,CE,,[ver metadata_corpus_a.csv],Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],,[extraer de PDF],,,,DECISIÓN,1,8000,0.142,0.193,1.000,0.143,—,—,—,—
a07146779a6dd7563c38…,A-CE,CE,2011,05001-23-31-000-2011-00092-01,Acción de Reparación Directa,Accede,[extraer de PDF],[extraer de PDF],29 de enero de 2020,6 de diciembre de 2006,Antioquia,Santaf,,HECHOS | DECISIÓN,2,9446,0.209,0.254,0.608,0.068,—,—,—,—
a0a90e425086749aacc5…,A-CE,CE,,[ver metadata_corpus_a.csv],Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],,[extraer de PDF],,,,DECISIÓN,1,493,0.190,0.225,0.000,0.000,—,—,—,—
a2a0d6158d9ba6d940b1…,A-CE,CE,2005,05001-23-31-000-2005-05214-01,Acción de Reparación Directa,Condena,[extraer de PDF],[extraer de PDF],19 de abril de 2004,19 de abril de 2004,Cesar,Granada,,CONSIDERACIONES | DECISIÓN,2,9271,0.158,0.199,1.000,0.161,—,—,—,—
a378f835f8de9d90f475…,A-CSJ,CSJ,2013,05001-23-33-000-2013-01022-01,Acción de Reparación Directa,Condena,[extraer de PDF],[extraer de PDF],31 de mayo de 2013,10 de junio de 2011,Antioquia,Bello,,DECISIÓN,1,1514,0.213,0.247,0.756,0.281,—,—,—,—
a401074525a27dc4a93c…,A-CE,CE,2017,11001-03-15-000-2017-01509-00,TUTELA,,[extraer de PDF],[extraer de PDF],12 de febrero de 2015,12 de febrero de 2015,Antioquia,Medelln,,CONSIDERACIONES | DECISIÓN,2,8971,0.191,0.235,0.933,0.045,—,—,—,—
a456317fa574c28c6c47…,A-CE,CE,2017,11001-03-15-000-2017-01509-00,TUTELA,,[extraer de PDF],[extraer de PDF],12 de febrero de 2015,12 de febrero de 2015,Antioquia,Medelln,,CONSIDERACIONES | DECISIÓN,2,9079,0.170,0.211,1.000,0.000,—,—,—,—
a4a3e6dd75b71212148d…,A-CE,CE,2017,11001-03-15-000-2017-01509-00,TUTELA,,[extraer de PDF],[extraer de PDF],12 de febrero de 2015,12 de febrero de 2015,Antioquia,Medelln,,CONSIDERACIONES | DECISIÓN,2,8929,0.206,0.239,1.000,0.037,—,—,—,—
a4e132f42a430a865b8c…,A-CE,CE,2009,05001-23-31-000-2009-00233-01,"ACCIÓN

DE REPARACIÓN DIRECTA",Condena,[extraer de PDF],[extraer de PDF],2009,[extraer de PDF],Antioquia,Soacha,de,DECISIÓN,1,2808,0.153,0.236,1.000,0.725,—,—,—,—
a5acda67e247666bef63…,A-CSJ,CSJ,2016,[ver metadata_corpus_a.csv],Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],2016,[extraer de PDF],,,,CONSIDERACIONES | DECISIÓN,2,3148,0.256,0.276,0.964,0.000,—,—,—,—
a5fe81001ff8ad88dd41…,A-CE,CE,,[ver metadata_corpus_a.csv],Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],,[extraer de PDF],,,,CONSIDERACIONES | DECISIÓN,2,8551,0.200,0.243,0.857,0.000,—,—,—,—
a7b8b3f9e00f55601e36…,A-CE,CE,,[ver metadata_corpus_a.csv],Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],,[extraer de PDF],,,,CONSIDERACIONES | HECHOS | DECISIÓN,3,13174,0.179,0.216,0.704,0.000,—,—,—,—
a84bf555763598812ee0…,A-CSJ,CSJ,2016,[ver metadata_corpus_a.csv],Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],2016,[extraer de PDF],,,,HECHOS | CONSIDERACIONES | DECISIÓN,3,9322,0.189,0.241,0.927,0.069,—,—,—,—
a8a3c7f204880ad2045f…,A-CE,CE,2021,11001-03-15-000-2021-02797-00,TUTELA,,[extraer de PDF],[extraer de PDF],4 de junio de 2010,8 de noviembre de 2017,Huila,,,DECISIÓN | CONSIDERACIONES,2,5430,0.200,0.242,1.000,0.500,—,—,—,—
a926896c2c238b5bd3dd…,A-CSJ,CSJ,2014,85001-23-33-000-2014-00006-01,Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],15 de diciembre de 2016,9 de febrero de 2012,Casanare,,,HECHOS | CONSIDERACIONES | DECISIÓN,3,11249,0.259,0.284,0.973,0.000,—,—,—,—
ae34bd6296146e45be80…,A-CSJ,CSJ,2015,11001-03-15-000-2015-01676-00,Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],4 de junio de 2015,4 de junio de 2015,ANTIOQUIA,,,DECISIÓN,1,1181,0.225,0.276,0.780,0.321,—,—,—,—
ae46f73439902655deca…,A-CE,CE,2006,05001-23-31-000-2006-00039-01,Acción de Reparación Directa,Condena,Magistrado,[extraer de PDF],8 de julio de 2009,23 de agosto de 2010,Antioquia,Caicedo,,CONSIDERACIONES | DECISIÓN,2,14672,0.187,0.222,0.618,0.000,—,—,—,—
ae9e6581dbdc3407c98b…,A-CSJ,CSJ,2016,[ver metadata_corpus_a.csv],Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],2016,[extraer de PDF],,,,CONSIDERACIONES,1,8000,0.262,0.299,1.000,0.000,—,—,—,—
aeab01bc5cd03110bac1…,A-CSJ,CSJ,2013,05001-23-33-000-2013-01022-01,Acción de Reparación Directa,Condena,[extraer de PDF],[extraer de PDF],31 de mayo de 2013,10 de junio de 2011,Antioquia,Bello,,CONSIDERACIONES | DECISIÓN,2,9089,0.258,0.292,0.739,0.000,—,—,—,—
b05f381ca34ae4be3d7c…,A-CE,CE,2018,11001-03-15-000-2018-00348-01,TUTELA,Niega,[extraer de PDF],[extraer de PDF],31 de julio de 2012,28 de agosto de 2014,Huila,Pitalito,,HECHOS | DECISIÓN,2,8611,0.176,0.248,0.890,0.120,—,—,—,—
