archivo,radicado,n_expediente,year_radicado,tipo_accion,decision,magistrado_ponente,fecha_1,fecha_2,municipio_hechos,departamento_hechos,batallon_mencionado,n_chars
25000-23-26-000-1995-00934-01(18230).txt,25000-23-26-000-1995-00934-01,18230,1995,,Condena,,12 de mayo de 1993,6 de septiembre de 2001,,Cundinamarca,,119591
25000-23-26-000-1996-02714-01(19040).txt,25000-23-26-000-1996-02714-01,19040,1996,,,,10 de febrero de 2000,,,,,67152
25000-23-26-000-2001-00297-01(24325)_1 (1).txt,25000-23-26-000-2001-00297-01,24325,2001,ACCION DE REPARACION DIRECTA,,,8 de agosto de 2003,13 de julio de 1993,,,,112414
25000-23-26-000-2001-00297-01(24325)_1 (2).txt,25000-23-26-000-2001-00297-01,24325,2001,ACCION DE REPARACION DIRECTA,,,8 de agosto de 2003,13 de julio de 1993,,,,112414
25000-23-26-000-2001-00297-01(24325)_1.txt,25000-23-26-000-2001-00297-01,24325,2001,ACCION DE REPARACION DIRECTA,,,8 de agosto de 2003,13 de julio de 1993,,,,112414
25000-23-26-000-2009-00830-01(43159) (1).txt,25000-23-26-000-2009-00830-01,43159,2009,,,,3 de noviembre de 2003,12 de diciembre de 2005,,Cundinamarca,,59047
25000-23-26-000-2009-00830-01(43159).txt,25000-23-26-000-2009-00830-01,43159,2009,,,,3 de noviembre de 2003,12 de diciembre de 2005,,Cundinamarca,,59047
25000-23-26-000-2009-00955-01(49591)_3 (1).txt,25000-23-26-000-2009-00955-01,49591,2009,,Condena,,30 de agosto de 2006,24 de diciembre de 2007,Silvania,Cundinamarca,,44758
25000-23-26-000-2009-00955-01(49591)_3.txt,25000-23-26-000-2009-00955-01,49591,2009,,Condena,,30 de agosto de 2006,24 de diciembre de 2007,Silvania,Cundinamarca,,44758
25000-23-26-000-2012-00419-01(54720)_2.txt,25000-23-26-000-2012-00419-01,54720,2012,,Accede,,5 de abril de 1991,15 de septiembre de 1995,Turmequé,Boyacá,,89830
25682(21-10-09).txt,25682,,,,,,22 de enero de 2001,12 de abril de 2002,Fortul,Arauca,,79588
35212(13-11-13).txt,35212,,,,,,4 de octubre de 2005,18 de octubre de 2005,Argelia,Antioquia,,55265
36460(28-08-13).txt,36460,,,,,,28 de marzo de 2005,8 de septiembre de 2009,Bello,,,27661
38538(23-05-12).txt,38538,,,,,,14 de octubre de 2010,22 de noviembre de 2006,Villagarzn,,,37314
39280(11-12-13).txt,39280,,,,,,19 de febrero de 2007,21 de diciembre de 2009,,Casanare,,18759
41001-23-31-000-1993-07386-00(28075)_1 (1).txt,41001-23-31-000-1993-07386-00,28075,1993,,,,20 de mayo de 2005,13 de mayo de 2009,San,Huila,,163895
41001-23-31-000-1993-07386-00(28075)_1.txt,41001-23-31-000-1993-07386-00,28075,1993,,,,20 de mayo de 2005,13 de mayo de 2009,San,Huila,,163895
41001-23-31-000-1994-07654-01(20601)_1 (1).txt,41001-23-31-000-1994-07654-01,20601,1994,,,,17 de noviembre de 2000,14 de octubre de 1997,,Huila,,324673
41001-23-31-000-1994-07654-01(20601)_1.txt,41001-23-31-000-1994-07654-01,20601,1994,,,,17 de noviembre de 2000,14 de octubre de 1997,,Huila,,324673
41317(11-12-13)EDITADA.txt,41317,,,,,,16 de enero de 2012,2 de octubre de 2012,,,,23598
42011(09-10-13).txt,42011,,,,,,22 de agosto de 2007,19 de octubre de 2003,,Meta,,34804
42770(11-12-13).txt,42770,,,,,,15 de julio de 2009,15 de agosto de 2012,Remedios,Antioquia,,18633
44001-23-31-000-2010-00238-01(53833).txt,44001-23-31-000-2010-00238-01,53833,2010,,,,7 de septiembre de 2015,6 de julio de 2016,,,,95004
44001-23-31-000-2011-00080-01(55287).txt,44001-23-31-000-2011-00080-01,55287,2011,,,Ramiro Pazos Guerrero,23 de junio de 2009,14 de marzo de 2011,,,,124101
47001-23-31-000-2009-00024-01(51596)_1 (1).txt,47001-23-31-000-2009-00024-01,51596,2009,"ACCIÓN

DE REPARACIÓN DIRECTA",,,16 de Agosto de 2006,,,Huila,,137732
47001-23-31-000-2009-00024-01(51596)_1.txt,47001-23-31-000-2009-00024-01,51596,2009,"ACCIÓN

DE REPARACIÓN DIRECTA",,,16 de Agosto de 2006,,,Huila,,137732
50001-23-31-000-1997-05523-01(24724)_1.txt,50001-23-31-000-1997-05523-01,24724,1997,,,,4 de febrero de 2003,30 de julio de 1994,Mesetas,Meta,,175825
52001-23-31-000-1998-00156-01(23810)_2.txt,52001-23-31-000-1998-00156-01,23810,1998,"ACCION DE REPARACION

DIRECTA",,,19 de julio de 2002,25 de noviembre de 1997,la,Nariño,Contraguerrillas,110534
