audio,bloque_id,chars,subcaso,fecha,tipo,y2_sa,y4_nv,y10_rep,n_sa,n_nv,n_rep
casanare,casanare_c0064,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,1.0,0.0,9.0,1.0,0.0
casanare,casanare_c0065,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,0.8333,1.0,6.0,1.0,1.0
casanare,casanare_c0066,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,0.0,0.0,14.0,0.0,0.0
casanare,casanare_c0067,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,1.0,0.0,20.0,1.0,0.0
casanare,casanare_c0068,1999.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,0.0,0.0,18.0,0.0,0.0
casanare,casanare_c0069,1999.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,0.5833,0.0,9.0,1.0,0.0
casanare,casanare_c0070,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,1.0,0.0,21.0,5.0,0.0
casanare,casanare_c0071,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,1.0,0.0,8.0,3.0,0.0
casanare,casanare_c0072,1999.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,1.0,0.0,14.0,4.0,0.0
casanare,casanare_c0073,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,0.3889,0.0,9.0,1.0,0.0
casanare,casanare_c0074,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,1.0,0.0,11.0,11.0,0.0
casanare,casanare_c0075,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,1.0,0.0,10.0,3.0,0.0
casanare,casanare_c0076,1999.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,0.0,0.0,13.0,0.0,0.0
casanare,casanare_c0077,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,0.4048,0.0,9.0,2.0,0.0
casanare,casanare_c0078,1999.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,1.0,0.0,10.0,5.0,0.0
casanare,casanare_c0079,1999.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,1.0,0.0,21.0,2.0,0.0
casanare,casanare_c0080,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,0.5833,0.0,11.0,1.0,0.0
