corpus_type,doc_id,bloque_id,chars,y11_quotes,y12_judgment,y13_evidential,y11_n_dq,y12_n_alta,y12_n_baja,y13_n_inst,y13_n_vic,y11_oral_score,y11_n_voz_vic,y11_n_voz_mil,y11_oral_v2,y11_prop_mafapo,y11_n_mafapo,y11_n_militar
A,05d2e3f2271c9000,05d2e3f2271c9000_b002,2000,0.0,0.0,0.5,0,1,0,0,0,,,,,,,
A,05d2e3f2271c9000,05d2e3f2271c9000_b003,2000,0.0,0.0,0.5,0,1,0,0,0,,,,,,,
A,05d2e3f2271c9000,05d2e3f2271c9000_b004,2000,0.0,1.0,0.5,0,0,1,0,0,,,,,,,
A,05d2e3f2271c9000,05d2e3f2271c9000_b005,2000,0.0,0.0,0.5,0,0,0,0,0,,,,,,,
A,05d2e3f2271c9000,05d2e3f2271c9000_b006,2000,0.0,0.0,0.5,0,1,0,0,0,,,,,,,
A,05d2e3f2271c9000,05d2e3f2271c9000_b007,2000,0.0,0.0,0.5,0,1,0,0,0,,,,,,,
A,05d2e3f2271c9000,05d2e3f2271c9000_b008,2000,0.0,0.0,0.5,0,0,0,0,0,,,,,,,
A,05d2e3f2271c9000,05d2e3f2271c9000_b009,2000,0.0,0.0,0.5,0,0,0,0,0,,,,,,,
A,05d2e3f2271c9000,05d2e3f2271c9000_b010,2000,0.0,0.2,0.5,0,4,1,0,0,,,,,,,
A,05d2e3f2271c9000,05d2e3f2271c9000_b011,2000,0.0,0.0,0.5,0,2,0,0,0,,,,,,,
A,05d2e3f2271c9000,05d2e3f2271c9000_b012,2000,0.0,0.0,0.5,0,0,0,0,0,,,,,,,
A,05d2e3f2271c9000,05d2e3f2271c9000_b013,2000,0.0,0.0,0.5,0,0,0,0,0,,,,,,,
A,05d2e3f2271c9000,05d2e3f2271c9000_b014,2000,0.0,0.0,0.5,0,0,0,0,0,,,,,,,
A,05d2e3f2271c9000,05d2e3f2271c9000_b015,2000,0.0,0.0,0.5,0,2,0,0,0,,,,,,,
