audio,bloque_id,subcaso,y8_v5,y9_v5
costa_caribe,costa_caribe_b0126,Costa Caribe,0.16217291773920683,0.2810479402542114
costa_caribe,costa_caribe_b0127,Costa Caribe,0.17651083108686705,0.2883755564689636
costa_caribe,costa_caribe_b0128,Costa Caribe,0.1484691694633653,0.2631949186325073
casanare_torres,casanare_torres_b0000,Casanare,0.174543519764097,0.2729443311691284
casanare_torres,casanare_torres_b0001,Casanare,0.12900204989386854,0.23643672466278076
casanare_torres,casanare_torres_b0002,Casanare,0.15269927577011755,0.21530354022979736
casanare_torres,casanare_torres_b0003,Casanare,0.1362816753158136,0.24434518814086914
casanare_torres,casanare_torres_b0004,Casanare,0.19951098698077196,0.29183393716812134
casanare_torres,casanare_torres_b0005,Casanare,0.14783411745935904,0.25941264629364014
casanare_torres,casanare_torres_b0006,Casanare,0.1566716762073449,0.25700342655181885
casanare_torres,casanare_torres_b0007,Casanare,0.1393513918640359,0.20260918140411377
casanare_torres,casanare_torres_b0008,Casanare,0.17002794054113202,0.2588617205619812
casanare_torres,casanare_torres_b0009,Casanare,0.14319840169162734,0.2684531807899475
casanare_torres,casanare_torres_b0010,Casanare,0.1552192968757402,0.27135026454925537
casanare_torres,casanare_torres_b0011,Casanare,0.1506435502318424,0.26712948083877563
casanare_torres,casanare_torres_b0012,Casanare,0.16725328865004918,0.2869778275489807
casanare_torres,casanare_torres_b0013,Casanare,0.1782614085859502,0.2829251289367676
casanare_torres,casanare_torres_b0014,Casanare,0.1840659947859955,0.2962016463279724
casanare_torres,casanare_torres_b0015,Casanare,0.1521234147992182,0.25935280323028564
casanare_torres,casanare_torres_b0016,Casanare,0.14879676701718902,0.2488955855369568
casanare_torres,casanare_torres_b0017,Casanare,0.13594587350723963,0.24941223859786987
casanare_torres,casanare_torres_b0018,Casanare,0.16420355313152046,0.2724496126174927
casanare_torres,casanare_torres_b0019,Casanare,0.17545901351937998,0.29784882068634033
casanare_torres,casanare_torres_b0020,Casanare,0.12914789630486823,0.2241939902305603
casanare_torres,casanare_torres_b0021,Casanare,0.15395089494871317,0.2543802857398987
casanare_torres,casanare_torres_b0022,Casanare,0.12440268966856038,0.24448812007904053
casanare_torres,casanare_torres_b0023,Casanare,0.1406397180866239,0.23019850254058838
casanare_torres,casanare_torres_b0024,Casanare,0.19850800700440274,0.2979445457458496
casanare_torres,casanare_torres_b0025,Casanare,0.14468123699691926,0.2420743703842163
casanare_torres,casanare_torres_b0026,Casanare,0.13230463189230834,0.23539787530899048
casanare_torres,casanare_torres_b0027,Casanare,0.14569218844172627,0.2491338849067688
casanare_torres,casanare_torres_b0028,Casanare,0.14057428951138595,0.24436229467391968
casanare_torres,casanare_torres_b0029,Casanare,0.12030700394460325,0.2437359094619751
casanare_torres,casanare_torres_b0030,Casanare,0.16197718140604966,0.2842066287994385
casanare_torres,casanare_torres_b0031,Casanare,0.15460963150956497,0.2648668885231018
casanare_torres,casanare_torres_b0032,Casanare,0.15379383715724215,0.2700679302215576
casanare_torres,casanare_torres_b0033,Casanare,0.16996340533479037,0.28275561332702637
casanare_torres,casanare_torres_b0034,Casanare,0.16672025824585557,0.2771715521812439
casanare_torres,casanare_torres_b0035,Casanare,0.1635493591042796,0.28261125087738037
casanare_torres,casanare_torres_b0036,Casanare,0.16864237579291286,0.28939634561538696
casanare_torres,casanare_torres_b0037,Casanare,0.1568413003708422,0.2727544903755188
casanare_torres,casanare_torres_b0038,Casanare,0.1543027373781718,0.26134973764419556
casanare_torres,casanare_torres_b0039,Casanare,0.16478740162144156,0.2866746783256531
casanare_torres,casanare_torres_b0040,Casanare,0.1837888986088393,0.26003122329711914
casanare_torres,casanare_torres_b0041,Casanare,0.14871442120227485,0.23929786682128906
casanare_torres,casanare_torres_b0042,Casanare,0.166825506467134,0.25224626064300537
casanare_torres,casanare_torres_b0043,Casanare,0.1707730275532564,0.2549639344215393
casanare_torres,casanare_torres_b0044,Casanare,0.13357784436931552,0.19758933782577515
casanare_torres,casanare_torres_b0045,Casanare,0.18206537750594032,0.2840331196784973
casanare_torres,casanare_torres_b0046,Casanare,0.20567877815102198,0.2986533045768738
casanare_torres,casanare_torres_b0047,Casanare,0.1319131902778723,0.21982955932617188
casanare_torres,casanare_torres_b0048,Casanare,0.14354125877121326,0.2669994831085205
casanare_torres,casanare_torres_b0049,Casanare,0.1356765726935366,0.23566412925720215
casanare_torres,casanare_torres_b0050,Casanare,0.16708392861142352,0.2358853816986084
casanare_torres,casanare_torres_b0051,Casanare,0.1739192621170278,0.26303672790527344
casanare_torres,casanare_torres_b0052,Casanare,0.15665306505578547,0.2330194115638733
casanare_torres,casanare_torres_b0053,Casanare,0.18275966364785567,0.28892648220062256
casanare_torres,casanare_torres_b0054,Casanare,0.16100853565142637,0.2592313289642334
casanare_torres,casanare_torres_b0055,Casanare,0.16629500110360096,0.2809925079345703
casanare_torres,casanare_torres_b0056,Casanare,0.1521483202968653,0.25353068113327026
casanare_torres,casanare_torres_b0057,Casanare,0.15412985448288896,0.25843292474746704
